#Format: Slots,Skill1,Points1,Skill2,Points2
1,Sheathing,6,Handicraft,4
0,Crit Draw,4,Handicraft,4
0,Stam Recov,5,Haphazard,9
0,Guard Up,5,Health,13
3,Hearing,4,Heavy Up,2
0,Hearing,7,Heavy Up,1
1,Evasion,6,Hellblade,1
3,Vault,6,Hero Shield,-1
2,FastCharge,5,Hero Shield,-3
0,Normal Up,6,Ice Atk,13
0,Tenderizer,5,Ice Atk,10
0,Recoil,2,Ice Atk,9
3,Guard,6,Ice Atk,-3
3,Vault,4,Light Eater,1
1,KO,9,Loading,3
3,Stam Recov,4,Maestro,5
1,Status,7,Maestro,-1
1,Elemental,4,Mounting,10
0,Stam Recov,4,Mounting,10
0,Biology,5,Mounting,10
0,Bind Res,6,Mounting,6
3,Sharpness,2,Mounting,5
0,Guard,7,Mounting,4
0,Endurance,5,Mycology,5
3,Stam Recov,6,Mycology,1
3,Rapid Fire,5,Mycology,-3
1,Tenderizer,4,Nightcloak,1
3,Frenzy Res,5,Nightcloak X,2
0,Recoil,5,Normal Up,4
1,Bubble,5,Pellet Up,3
2,Destroyer,6,Pellet Up,-2
1,Stam Recov,5,Perception,6
3,Chain Crit,3,Pierce Up,5
0,Rapid Fire,5,Pierce Up,5
3,Sharpness,7,Pierce Up,1
0,Wind Res,6,Protection,10
0,Sheathing,10,Protection,5
2,Sheathe Sharpen,2,Punish Draw,5
1,Sharpness,1,Punish Draw,5
0,Bomb Boost,4,Ranger,9
0,Guard Up,4,Rec Level,3
0,Elemental,7,Recoil,6
3,Chain Crit,5,Recoil,1
3,Bubble,5,Reload Spd,5
3,Pierce Up,6,Reload Spd,-1
3,Chance,2,Sharpness,6
0,Punish Draw,5,Sharpness,5
2,Vault,6,Sharpness,4
3,Grinder,3,Sharpness,1
0,Blight Res,4,Sheathing,7
1,Sheathe Sharpen,6,Sheathing,5
0,Pellet Up,6,Sheathing,4
3,Guard Up,3,Sheathing,3
0,Ice Atk,7,Silverwind,3
0,Punish Draw,3,Snowbaron X,3
0,Health,6,Speed Setup,4
0,Pierce Up,6,Stam Drain,9
2,Recoil,4,Stam Drain,3
0,Charmer,7,Stam Recov,5
0,Prolong SP,6,Stam Recov,4
3,Ammo Saver,5,Stam Recov,1
2,Guts,5,Stamina,-2
1,Normal Up,4,Status,2
0,Punish Draw,5,Stonefist X,3
3,Ice Atk,7,Stun,7
0,Punish Draw,5,Tenderizer,5
2,Punish Draw,2,Tenderizer,4
2,Reload Spd,5,Tenderizer,3
3,Reload Spd,1,Tenderizer,2
2,Elemental,5,Tenderizer,2
2,Fire Atk,6,Tenderizer,2
0,Vault,4,Thunder Atk,13
0,Tenderizer,6,Thunder Atk,10
1,Rapid Fire,5,Thunder Atk,5
2,Status,4,Thunder Atk,4
3,Crit Draw,5,Thunder Atk,3
3,Tenderizer,6,Unscathed,-1
0,Crit Draw,5,Water Atk,13
0,Evade Dist,4,Water Atk,11
2,Ice Atk,6,Water Atk,2
0,Attack,3,Wide-Range,10
1,Artillery,6,,
3,Biology,8,,
1,Blight Res,7,,
2,Blunt,6,,
3,Blunt,4,,
3,Charmer,5,,
3,Constitution,6,,
3,Crisis,6,,
3,Crit Element,6,,
2,Crit Status,5,,
1,FastCharge,4,,
0,Gathering,10,,
2,Guard Up,6,,
2,Hearing,7,,
3,Hearing,6,,
3,Hero Shield,5,,
3,KO,5,,
3,Normal Up,5,,
3,Pellet Up,6,,
3,Rapid Fire,4,,
3,Recoil,4,,
3,Reload Spd,6,,
2,Sheathing,10,,
3,Sheathing,9,,
0,Sleep,5,,
3,Status,5,,
2,Tenderizer,5,,
0,Transporter,8,,
3,Unscathed,5,,
3,Vault,5,,
3,Hero Shield,4,Fire Atk,10
3,Hero Shield,4,Artillery,10
3,Sharpness,3,Handicraft,4
3,Grinder,4,,
3,Grinder,3,Sharpness,1
3,Sheathing,10,,
3,Sheathe Sharpen,7,Defense,3
3,Crit Element,6,,
2,Sheathe Sharpen,10,Dead Eye,4
